sales,email,opened,agreement,credit_limit,risk_score
370,0,0,0,572.7479491,0.331647184
700,1,0,0,1345.339805,0.528243496
540,1,0,0,593.419697,0.319583063
800,0,0,0,1308.510978,0.538741109
530,0,0,0,1183.545118,0.493833129
600,1,0,0,723.8664761,0.379879312
720,0,0,0,1481.384233,0.559178395
710,0,0,0,1916.484441,0.609011346
820,0,0,0,1547.955929,0.566055893
770,1,1,1,1714.375366,0.581942362
910,1,1,1,1770.882972,0.609796668
740,0,0,0,1449.769439,0.553236492
660,1,0,0,634.5634455,0.346378687
730,1,1,0,2036.63125,0.623785076
590,0,0,0,373.3508942,0.228960847
560,1,1,0,465.5566764,0.282204212
600,1,0,0,1073.944916,0.455491482
660,1,1,1,1009.270476,0.458043939
640,0,0,0,1200.618987,0.511959721
780,1,0,0,987.2799917,0.44555281
880,1,1,0,2107.959142,0.645970709
660,0,0,0,772.0504144,0.36785121
720,0,0,0,1390.319517,0.545510173
700,0,0,0,1117.390619,0.498072751
730,1,1,1,1263.28208,0.535885221
710,0,0,0,1011.709206,0.472075208
630,1,1,0,1131.924396,0.481858107
830,0,0,0,1925.234548,0.620853262
620,1,1,0,802.6687602,0.405897065
720,0,0,0,2116.229602,0.63173916
810,0,0,0,2099.23366,0.633904091
720,0,0,0,1811.712003,0.609866225
680,0,0,0,1177.209459,0.492950026
710,1,0,0,1579.815803,0.571044508
580,0,0,0,1025.767575,0.450853953
570,1,0,0,822.7294207,0.408442312
740,0,0,0,1619.885608,0.57272847
480,1,0,0,518.4466874,0.326313619
700,1,0,0,716.5732447,0.378293226
560,0,0,0,1148.303543,0.488273226
720,0,0,0,1493.596115,0.561062393
650,1,1,0,1124.194869,0.478452563
660,0,0,0,1201.349498,0.513571505
490,1,1,1,683.8913871,0.358431128
650,1,0,0,719.8718932,0.374599546
540,1,0,0,1289.148804,0.533647052
490,0,0,0,1296.692172,0.539840949
570,0,0,0,618.7870663,0.351252778
570,0,0,0,1001.562036,0.45356799
930,0,0,0,2190.154685,0.637630896
830,0,0,0,2422.735304,0.671917195
640,1,0,0,1095.392625,0.461909439
580,0,0,0,878.0302378,0.41235338
620,1,0,0,1041.451278,0.490325715
560,0,0,0,577.7604818,0.329275882
610,0,0,0,1048.560347,0.466140305
510,0,0,0,518.6674303,0.314653915
450,0,0,0,590.3136657,0.342808791
600,0,0,0,1156.021344,0.49289871
860,1,0,0,1606.914124,0.601266252
860,0,0,0,1764.409289,0.608116164
770,1,1,0,1526.193473,0.562480111
680,0,0,0,1153.618519,0.490070993
700,1,1,1,1352.316255,0.530402687
760,1,1,1,1228.586295,0.509043381
810,1,1,0,2422.642881,0.677904414
680,1,1,1,1725.852081,0.593271108
520,1,0,0,732.4322961,0.389164454
520,0,0,0,1734.90082,0.591830926
910,1,1,1,2230.679688,0.660961638
660,0,0,0,855.1802215,0.418798596
590,1,1,1,1060.179836,0.480510006
790,0,0,0,2417.029395,0.667243582
740,1,1,1,1214.428045,0.500002243
730,1,1,0,916.5747906,0.441562997
720,0,0,0,1524.658276,0.563454925
670,1,1,0,972.7138548,0.457144665
650,1,1,0,702.0905312,0.382086013
710,1,0,0,1875.085397,0.601256493
590,1,1,1,1337.807197,0.529242688
670,1,0,0,1128.013974,0.480024804
700,1,0,0,1000.250929,0.461955163
640,0,0,0,1532.989966,0.566371246
650,1,1,1,1253.316962,0.518926251
670,0,0,0,1477.700533,0.557174897
640,0,0,0,1158.114011,0.479363574
630,1,1,1,1089.286704,0.463927149
760,1,1,1,1420.812758,0.553098001
630,0,0,0,1090.270775,0.4940328
700,1,1,1,1123.939999,0.48486539
660,0,0,0,819.5191291,0.421032772
590,1,0,0,1142.668528,0.486788419
620,1,0,0,746.6198443,0.370831324
600,0,0,0,417.5670012,0.26079904
560,1,0,0,1162.900142,0.498008883
950,1,1,0,2230.084539,0.636368207
570,0,0,0,728.7610322,0.375461593
570,0,0,0,251.4722775,0.17182858
750,1,1,1,1016.751858,0.459871945
690,1,1,0,1673.277384,0.590768692
790,0,0,0,1987.018262,0.629207353
590,1,0,0,1051.378818,0.475721177
650,0,0,0,1020.010118,0.460556466
640,1,0,0,1214.84013,0.50831791
670,0,0,0,969.8249881,0.45683744
530,0,0,0,1092.605774,0.484812277
880,0,0,0,2004.406733,0.639566626
640,0,0,0,742.211435,0.39420238
740,0,0,0,1724.38965,0.574533841
650,1,1,1,733.4851004,0.381139587
660,1,0,0,1431.348033,0.55311033
630,0,0,0,870.0140454,0.426266375
690,1,1,0,1533.86667,0.559745337
670,1,0,0,1007.810118,0.460037167
600,1,1,1,687.8680917,0.359759256
820,1,1,0,1192.948456,0.497842669
560,1,1,0,1491.31944,0.5625826
610,0,0,0,991.5717669,0.458209642
550,1,1,1,776.1906998,0.400662141
800,1,0,0,1814.530339,0.60891458
680,0,0,0,2084.394051,0.645733958
780,0,0,0,1463.774782,0.549477007
620,1,1,1,756.8879325,0.387051495
530,1,1,1,562.7368508,0.317796774
830,1,1,0,1369.045189,0.534423857
590,0,0,0,964.6563804,0.446191459
720,0,0,0,1244.147579,0.513176446
750,1,0,0,1318.630111,0.516110174
510,0,0,0,448.7474564,0.26670527
570,1,1,1,725.6916438,0.383846269
560,0,0,0,1061.849735,0.480952023
720,0,0,0,1099.383022,0.485285504
710,0,0,0,1323.406427,0.548354228
580,0,0,0,652.9634187,0.359072752
860,1,0,0,1530.155094,0.555508187
640,0,0,0,982.074976,0.451426307
690,1,1,1,973.8389954,0.452511215
630,0,0,0,795.0454479,0.390446567
590,0,0,0,473.5688008,0.284775095
600,1,1,0,966.008518,0.440973317
890,0,0,0,1965.297464,0.629214746
770,0,0,0,1780.862714,0.593084694
800,1,1,1,927.9578926,0.427844944
530,0,0,0,839.7676396,0.408401508
750,0,0,0,990.8902482,0.445177947
650,0,0,0,1226.647416,0.511126945
610,0,0,0,1222.391005,0.505421147
640,1,0,0,994.86229,0.455019324
600,1,0,0,1367.363619,0.524307276
590,1,1,1,740.6854869,0.370061419
900,0,0,0,1445.026075,0.554323891
540,1,1,1,552.3424155,0.306430131
570,0,0,0,623.5204078,0.324978216
650,0,0,0,1095.768572,0.469217131
550,0,0,0,1052.950604,0.45711604
590,1,1,0,1761.239576,0.590123555
770,0,0,0,1465.32761,0.546723212
790,1,1,0,1064.210693,0.446377631
550,0,0,0,998.7943145,0.442490599
670,1,1,1,545.8877679,0.30544849
820,0,0,0,2028.251586,0.628471837
600,0,0,0,669.1845393,0.370485157
850,1,1,1,831.2097649,0.415618896
730,0,0,0,1151.639134,0.506734454
550,0,0,0,753.6413117,0.389996892
890,1,0,0,2629.634718,0.677330447
610,0,0,0,1223.77076,0.50344749
560,1,1,0,1037.254466,0.477260372
690,1,0,0,1380.687488,0.543584214
560,1,1,0,926.3050376,0.427974569
640,1,1,1,907.6867102,0.426261825
540,0,0,0,620.2633841,0.366898223
650,1,1,1,1023.925277,0.463961219
520,1,1,1,626.4844477,0.341174765
630,1,0,0,1853.883864,0.616276302
710,0,0,0,1204.41811,0.499880866
870,1,1,0,1990.845342,0.624550723
450,0,0,0,529.4636358,0.312392755
550,0,0,0,692.8311962,0.355650107
750,0,0,0,959.5175313,0.431118909
510,1,1,1,418.2935795,0.251324866
830,1,0,0,1783.14996,0.582643805
670,1,1,0,836.1360365,0.406592911
700,0,0,0,1996.962138,0.612040973
530,1,1,1,764.3464966,0.409795008
570,1,0,0,1029.652317,0.457583087
590,0,0,0,505.5202016,0.282871911
720,1,0,0,1209.196513,0.483573795
670,1,1,1,1855.652856,0.616618424
530,0,0,0,600.811619,0.323211463
760,1,0,0,1854.907439,0.612117263
510,1,1,1,911.8993332,0.416385794
500,1,1,0,887.6682452,0.442221238
690,1,1,1,794.3464439,0.40226387
730,0,0,0,1186.034972,0.497740208
370,0,0,0,557.7907711,0.31525641
780,1,1,1,2022.13426,0.626568419
540,1,0,0,639.603815,0.347690572
840,1,1,1,1630.793718,0.573032794
640,0,0,0,1333.47095,0.528900252
700,0,0,0,1201.327049,0.511554365
670,1,0,0,1265.592527,0.526341606
650,1,1,1,1041.395096,0.457160712
860,1,0,0,1638.19907,0.569394289
660,1,1,1,772.3751452,0.4019494
750,0,0,0,1868.343624,0.596550757
660,1,1,1,1061.305054,0.470415396
580,1,1,1,1009.401974,0.455024718
580,0,0,0,863.9756099,0.434319512
670,1,1,1,1151.559477,0.496858636
830,0,0,0,1838.682081,0.595818384
750,1,0,0,1231.993564,0.505812783
590,1,0,0,1066.526813,0.477009792
810,0,0,0,2456.333663,0.66783486
590,1,1,1,1047.40581,0.457951413
700,0,0,0,2219.893865,0.648615925
750,0,0,0,1349.115473,0.534813621
640,0,0,0,933.7604925,0.441637723
580,0,0,0,897.9119662,0.422997501
670,0,0,0,1669.079689,0.590779411
540,0,0,0,1018.327866,0.465367811
680,0,0,0,1502.146058,0.557731471
630,0,0,0,561.7701472,0.310131075
610,0,0,0,1817.091525,0.601058143
580,0,0,0,752.8229217,0.397838228
680,1,1,1,1537.072803,0.57106248
730,0,0,0,1690.231377,0.591036301
680,0,0,0,1230.177193,0.527246108
630,1,0,0,958.6603759,0.463222636
650,0,0,0,993.5210968,0.443142384
750,0,0,0,1539.465301,0.564082665
650,1,0,0,798.2111154,0.399688775
700,0,0,0,1343.97425,0.539459802
610,1,1,1,893.2542223,0.438630807
620,1,0,0,1296.817479,0.519625357
630,0,0,0,1268.231674,0.510452734
540,0,0,0,547.4337535,0.310661392
580,0,0,0,419.5061902,0.26919499
810,0,0,0,1713.024354,0.584648134
680,1,1,0,1273.819276,0.519667425
990,0,0,0,2123.155146,0.653867365
600,0,0,0,917.360773,0.409335537
580,0,0,0,612.7470252,0.330073516
490,0,0,0,535.9090578,0.310838623
640,0,0,0,1357.613629,0.53395056
600,0,0,0,1127.671891,0.486319647
600,0,0,0,1092.851131,0.464560162
640,1,0,0,957.0688579,0.4447284
520,0,0,0,1150.800436,0.496953514
670,0,0,0,1022.646753,0.452101303
720,1,1,0,1092.512534,0.481579763
510,1,1,0,799.7524359,0.398533997
530,0,0,0,435.0458005,0.297694113
630,0,0,0,962.9155393,0.468667898
690,0,0,0,1226.593869,0.498448988
600,1,1,0,1111.14048,0.484977752
500,0,0,0,1384.564834,0.526512152
630,0,0,0,1682.209557,0.586065736
450,1,1,1,451.0991585,0.282346704
570,1,0,0,1271.550169,0.5224542
640,1,1,1,882.2174184,0.433185123
820,1,0,0,1576.69678,0.580962248
650,1,1,1,1117.478744,0.48132582
660,0,0,0,1041.562209,0.467977015
810,0,0,0,1047.561293,0.469230248
550,0,0,0,528.4348813,0.311415945
510,1,0,0,914.6742511,0.428214788
730,0,0,0,1835.161834,0.614338473
630,0,0,0,615.8531185,0.358291344
750,1,1,0,1296.94025,0.530026911
610,0,0,0,1094.816566,0.488343744
640,1,1,0,1273.948284,0.512584784
540,0,0,0,617.133681,0.340971119
770,1,0,0,1285.270786,0.522349024
610,0,0,0,1414.612566,0.533868039
680,0,0,0,881.9210502,0.413597981
830,1,0,0,1622.852515,0.580864415
670,0,0,0,908.9464431,0.447706578
680,0,0,0,1938.499345,0.63113466
620,0,0,0,833.4860454,0.420150999
720,0,0,0,898.7639305,0.407735765
750,1,1,1,1404.958067,0.541318351
780,1,1,1,1681.439791,0.584320957
630,1,0,0,751.4782205,0.39242491
570,0,0,0,2055.956556,0.643701122
600,0,0,0,1911.88214,0.622808539
570,0,0,0,465.7753464,0.295417846
630,1,1,1,1259.165659,0.554179012
700,1,1,0,921.6045846,0.42810909
740,1,0,0,1630.656807,0.576031742
640,0,0,0,1006.031436,0.465979188
770,0,0,0,1913.342619,0.618743032
540,1,0,0,434.056386,0.26221696
700,0,0,0,1255.053911,0.514551532
730,1,0,0,1270.231225,0.510943508
700,1,1,1,1150.967003,0.489272239
630,0,0,0,1240.682409,0.4960761
630,1,1,0,1480.008287,0.545682982
680,1,1,1,1246.284913,0.514005687
980,0,0,0,2405.136849,0.661763361
690,1,0,0,1422.394008,0.546366324
690,1,1,0,2043.350408,0.635647133
590,1,0,0,425.9566023,0.270946552
480,1,0,0,909.9255777,0.404066298
760,1,1,1,815.7058888,0.397188173
590,1,0,0,914.8048924,0.406261486
710,0,0,0,927.5013465,0.443500031
850,0,0,0,1815.211298,0.604953471
490,0,0,0,785.5462902,0.395471925
670,0,0,0,1561.551176,0.575451899
740,0,0,0,1278.46963,0.50322493
710,0,0,0,1785.159337,0.594684293
500,0,0,0,812.5138931,0.396805964
590,1,0,0,1173.694736,0.491086461
630,0,0,0,1234.97274,0.50424285
640,1,0,0,791.0624329,0.377325964
420,1,1,0,440.9137516,0.271701173
730,0,0,0,1717.29702,0.603512795
720,1,0,0,1411.762782,0.534084235
860,0,0,0,1598.219471,0.556130507
620,1,1,0,795.8789533,0.389214261
530,0,0,0,1108.264204,0.49714544
660,0,0,0,916.4375148,0.424626123
750,0,0,0,1203.110265,0.485222481
610,1,1,1,618.0573039,0.341923692
740,0,0,0,840.5186318,0.41945317
500,1,0,0,352.2229296,0.222336526
690,1,0,0,1084.562796,0.478590458
600,0,0,0,699.1662637,0.366654946
680,1,0,0,1223.446066,0.526575878
790,0,0,0,1610.838093,0.558909646
770,0,0,0,1476.551014,0.557643159
680,0,0,0,1473.07565,0.552923862
630,1,0,0,1055.901665,0.464214255
520,1,0,0,884.4654336,0.411890304
590,1,1,1,722.5837251,0.370732762
660,1,1,1,1643.785212,0.565574672
770,1,1,1,1900.818035,0.603561346
770,1,0,0,1097.531522,0.466460557
670,0,0,0,886.7078975,0.389193822
600,0,0,0,959.7517516,0.451407871
750,1,1,0,1297.868722,0.513832935
710,0,0,0,1055.9689,0.466931082
890,1,0,0,2063.482674,0.635901827
530,1,1,1,729.4413914,0.388804551
570,1,1,0,1423.035209,0.548314162
580,0,0,0,943.2409028,0.41806303
730,0,0,0,1240.172529,0.528531655
540,1,0,0,748.3281088,0.389735108
640,0,0,0,1127.290693,0.493880972
790,1,0,0,1138.941702,0.49890517
600,0,0,0,1303.618082,0.515149084
630,0,0,0,1263.481937,0.516546986
650,0,0,0,1086.626051,0.485054565
620,1,1,1,681.9219574,0.360698367
550,1,0,0,1030.230305,0.443950969
850,0,0,0,1201.296394,0.485554735
700,0,0,0,629.4188126,0.345450764
560,1,1,0,1213.707964,0.502032533
540,0,0,0,849.0310571,0.409056773
790,0,0,0,1482.697811,0.553438448
790,0,0,0,2176.712877,0.657824179
720,0,0,0,1651.396188,0.592872316
540,1,0,0,1402.811716,0.55016163
590,0,0,0,1178.62055,0.488994779
590,0,0,0,767.653024,0.386056081
550,0,0,0,514.0777146,0.282955916
730,1,1,1,1092.214759,0.486220798
680,0,0,0,1003.655793,0.451390907
610,1,1,0,1739.200223,0.597037709
730,1,1,0,1433.471213,0.556600353
540,1,0,0,864.2166178,0.413850848
590,0,0,0,743.9723776,0.395993243
530,1,1,0,1406.414388,0.538506991
750,0,0,0,1059.106074,0.482086428
680,0,0,0,795.4595345,0.389121819
570,1,0,0,530.0547517,0.30289243
780,0,0,0,985.1993412,0.439412811
790,0,0,0,1057.099173,0.474383012
530,0,0,0,401.4309852,0.241791289
840,0,0,0,1693.87535,0.590013562
670,1,0,0,805.3910928,0.399029748
710,0,0,0,1600.1785,0.574921695
680,0,0,0,975.7540982,0.453624981
630,0,0,0,654.0617489,0.34862621
660,1,0,0,1174.692428,0.506471101
850,0,0,0,1477.646585,0.555718557
580,0,0,0,352.2314117,0.236002898
710,1,0,0,1446.812974,0.546863091
650,0,0,0,630.7632489,0.329462933
740,0,0,0,1833.913533,0.606114364
790,0,0,0,860.5617984,0.419906024
710,1,0,0,1835.504617,0.597328233
740,0,0,0,1570.032131,0.571176516
640,1,0,0,1129.171443,0.493505904
430,1,1,1,715.217326,0.374328656
670,1,0,0,906.4833016,0.431920008
540,0,0,0,1035.343252,0.468702425
800,0,0,0,1976.445191,0.625668126
640,1,0,0,796.0694974,0.396585914
520,1,1,1,791.3338905,0.416827236
710,0,0,0,1474.531273,0.558937772
660,0,0,0,375.1449068,0.239933775
490,1,0,0,652.9770775,0.353637452
690,1,1,1,1168.876198,0.485182726
530,1,1,1,671.0673575,0.370468141
620,0,0,0,807.4777508,0.395478907
480,0,0,0,252.2425151,0.182408691
720,0,0,0,1457.566465,0.546610169
710,0,0,0,1448.023826,0.540188426
740,0,0,0,1687.762421,0.597133987
780,0,0,0,1743.042957,0.58846519
670,1,0,0,957.0106938,0.426963162
480,1,0,0,815.2978733,0.394016995
840,0,0,0,1453.833839,0.540855464
690,0,0,0,1710.14785,0.584516598
780,0,0,0,1209.591798,0.5130192
760,0,0,0,1380.683492,0.538666535
570,0,0,0,1221.61151,0.51474985
550,0,0,0,1069.50041,0.471513896
830,1,1,1,1834.997412,0.611761889
620,0,0,0,1126.247012,0.490651736
580,1,0,0,1687.467045,0.592091246
640,0,0,0,837.866463,0.410315639
640,0,0,0,1225.913089,0.508903058
750,0,0,0,1285.963326,0.524567815
510,1,1,1,416.4682314,0.263747653
590,0,0,0,954.1013307,0.449183704
700,1,0,0,1302.742297,0.535033915
740,1,1,1,1114.042957,0.486182679
500,0,0,0,658.267775,0.356413703
620,0,0,0,939.2414012,0.419993795
910,0,0,0,2723.53314,0.69497303
760,1,1,1,1247.572099,0.51463379
690,0,0,0,1095.181716,0.49462553
650,1,1,0,1014.469504,0.452531687
340,0,0,0,536.0223411,0.302231676
570,0,0,0,998.4786881,0.474309002
720,1,1,0,1594.000613,0.565419312
540,1,1,1,942.2714707,0.416328079
690,0,0,0,1194.402783,0.479901968
660,1,0,0,1225.804691,0.497314537
750,1,1,1,1615.365127,0.550499841
650,0,0,0,698.8282324,0.358926422
790,1,0,0,1172.046522,0.506721763
700,0,0,0,1146.227752,0.497238879
620,0,0,0,1163.462084,0.510588358
670,0,0,0,1268.456262,0.501965947
650,1,0,0,1064.452734,0.460494093
720,1,1,1,865.681325,0.427013195
740,1,1,0,1627.916627,0.569778655
680,1,0,0,1418.030094,0.551501953
470,0,0,0,823.5546493,0.405857313
800,0,0,0,1762.115597,0.601784326
780,1,0,0,1409.18653,0.53131111
630,0,0,0,936.3242528,0.435114913
600,0,0,0,735.1872532,0.386590396
750,0,0,0,1841.165062,0.609356353
560,1,1,1,787.7465055,0.392200077
810,0,0,0,1450.518691,0.54464824
660,1,0,0,583.3486114,0.335111698
730,1,1,0,1878.537637,0.599781245
630,0,0,0,835.6018211,0.414034965
770,1,0,0,1756.286237,0.607129851
610,0,0,0,471.9592581,0.283121355
660,1,0,0,1119.334988,0.488472029
710,1,1,1,933.7011052,0.428239434
730,1,1,1,1896.922618,0.620593979
760,0,0,0,1576.968158,0.567854673
630,0,0,0,2483.070302,0.690004974
820,1,0,0,1996.774523,0.636417867
720,0,0,0,1140.109379,0.49161772
580,0,0,0,831.5406244,0.433878681
640,1,1,0,921.2257366,0.444652216
560,0,0,0,612.2397824,0.337170553
550,0,0,0,889.866249,0.419527969
660,1,1,1,1686.569581,0.583057873
580,0,0,0,1797.020723,0.602568439
570,1,1,0,1685.344303,0.582227666
650,1,0,0,957.9254162,0.454603572
690,0,0,0,1781.10477,0.588926263
620,0,0,0,1241.808546,0.532804233
670,1,0,0,1045.357534,0.469741904
600,0,0,0,2032.93066,0.628363255
760,0,0,0,1246.130493,0.53829946
910,1,0,0,1777.753284,0.594920416
560,0,0,0,764.6560297,0.390253612
690,0,0,0,1106.836486,0.493007468
790,0,0,0,1281.850443,0.507918847
920,1,1,1,1875.400906,0.614580232
520,1,1,0,1339.007977,0.540056794
730,1,0,0,1454.800585,0.550889853
880,0,0,0,1658.147076,0.607687631
620,1,1,1,706.6114615,0.370739268
820,1,1,0,2001.12299,0.634685249
1050,1,0,0,2889.812024,0.709565575
740,1,1,1,1459.199785,0.552201086
630,1,0,0,1108.083927,0.480180956
590,0,0,0,1095.103274,0.480212339
580,1,1,1,1012.352286,0.462347428
680,1,0,0,986.9835128,0.446169173
680,0,0,0,1111.874711,0.482283979
670,0,0,0,1819.615243,0.603337186
770,1,1,1,1132.885086,0.482133124
820,0,0,0,1154.25705,0.510426739
770,0,0,0,1318.287252,0.525649787
820,0,0,0,1935.233227,0.620920113
730,1,1,0,1506.370635,0.553802995
600,1,1,1,846.2689224,0.418990987
710,0,0,0,2180.296589,0.661731665
730,1,1,0,1294.112925,0.509854901
750,0,0,0,995.7506173,0.458677433
380,0,0,0,264.0590501,0.187386358
670,0,0,0,910.9137435,0.446911785
790,0,0,0,1257.990278,0.503813993
770,1,1,1,1651.794083,0.573176041
620,0,0,0,859.2633171,0.400801606
650,0,0,0,634.7578143,0.347390208
720,1,0,0,1605.802435,0.569894955
510,0,0,0,1104.55943,0.503543876
710,0,0,0,1428.288897,0.536710489
430,1,0,0,737.7496486,0.369863611
670,1,0,0,1462.293056,0.568638276
540,0,0,0,1090.352039,0.477684911
640,1,0,0,1154.47259,0.473511117
650,0,0,0,861.666604,0.432578802
620,0,0,0,802.6366984,0.414782477
800,0,0,0,1699.150268,0.572366635
820,1,1,1,1285.191111,0.50793457
600,1,1,0,673.4019778,0.36219527
650,0,0,0,1229.565395,0.507862969
690,0,0,0,1185.866686,0.486304464
750,1,1,0,1408.399337,0.540670661
670,1,1,1,756.9131347,0.375417315
720,0,0,0,1719.409896,0.585091249
680,1,1,1,1536.41339,0.566104264
640,1,1,1,1202.63377,0.494003047
630,1,1,1,1340.049293,0.530891416
720,1,1,1,1428.630005,0.543163984
730,0,0,0,1691.310542,0.588231215
690,0,0,0,1693.696219,0.593535884
720,1,1,1,1014.582391,0.463016016
720,0,0,0,969.672937,0.451253811
550,0,0,0,529.1431405,0.303094086
640,0,0,0,1650.14286,0.582855168
510,0,0,0,815.6822803,0.401540986
810,0,0,0,1562.657817,0.572481732
510,0,0,0,1056.08546,0.490216951
690,0,0,0,862.9466273,0.437052677
660,1,0,0,1853.464588,0.600382869
700,1,0,0,1021.796486,0.477371224
660,1,0,0,1792.565291,0.589640919
600,0,0,0,1008.133205,0.446564406
600,0,0,0,655.1660518,0.343943463
690,0,0,0,1416.263368,0.539204759
650,0,0,0,811.9181855,0.389674388
790,0,0,0,1643.312365,0.574664771
670,1,1,0,1399.55804,0.534778737
600,0,0,0,960.8092692,0.450872781
770,1,0,0,1414.832865,0.53810083
500,0,0,0,950.8203239,0.415119859
690,1,0,0,1168.727462,0.492631018
640,1,0,0,1043.292712,0.464432404
740,0,0,0,804.6389458,0.420522124
530,0,0,0,716.1713758,0.375977467
620,1,1,1,809.5025815,0.403675552
600,0,0,0,984.9824026,0.46610333
800,1,0,0,1623.69956,0.574050333
690,1,0,0,1137.591473,0.46844962
500,0,0,0,782.3073922,0.370959821
670,1,1,0,1220.992253,0.505729899
630,1,1,1,664.9546943,0.341613997
580,0,0,0,472.7437539,0.30617915
530,0,0,0,656.4131701,0.356360164
630,1,1,1,1006.017647,0.457315278
560,1,1,0,1314.10923,0.521008593
730,0,0,0,1244.166427,0.516804305
830,1,0,0,1259.235716,0.518160126
830,1,1,0,1749.506903,0.580455023
910,1,1,0,2413.25687,0.666657095
630,1,0,0,1489.131352,0.552750974
850,1,1,1,1393.167264,0.536813009
610,1,1,1,731.2064783,0.38704173
710,1,0,0,2087.424337,0.630188387
680,0,0,0,1712.993137,0.588094758
580,1,1,1,824.7819473,0.397500153
620,1,0,0,821.5110382,0.415327005
710,0,0,0,1407.14403,0.538871492
520,0,0,0,915.2204918,0.435734571
530,0,0,0,630.1969774,0.34883709
710,1,0,0,786.3448674,0.402668755
510,0,0,0,1175.79534,0.493730502
730,0,0,0,1249.072929,0.509930472
760,0,0,0,1496.821118,0.540166034
820,1,0,0,2018.039217,0.63171276
580,1,0,0,592.2072748,0.336500173
630,0,0,0,1118.296769,0.464244792
590,0,0,0,1313.946595,0.523780137
460,1,1,0,974.9508296,0.414776612
520,1,0,0,441.034229,0.243794571
560,1,0,0,1527.693925,0.568815922
530,1,1,0,609.610124,0.35841371
680,1,1,1,829.4129686,0.404364849
630,1,0,0,711.3625878,0.371957076
420,1,1,0,977.5498193,0.458484083
690,1,1,1,1072.464969,0.47588176
820,0,0,0,1964.165193,0.622998016
1020,0,0,0,2683.945377,0.696418721
620,1,0,0,1008.6897,0.461420783
590,1,1,1,756.9114813,0.388667744
800,1,1,1,1113.254215,0.463527771
530,0,0,0,1022.495984,0.452975138
820,0,0,0,1617.956933,0.57009954
610,1,1,0,1292.973767,0.515733346
610,1,1,0,1096.363354,0.472436584
630,1,0,0,799.1587122,0.403905622
720,0,0,0,1648.543077,0.603206199
860,0,0,0,714.3838491,0.354394714
770,0,0,0,786.3065138,0.39647939
570,0,0,0,975.3858524,0.445553019
650,1,1,1,593.1547246,0.342204223
690,1,1,0,1162.716933,0.504026746
580,1,0,0,904.57972,0.399995097
640,1,0,0,650.4025169,0.344074859
560,0,0,0,441.852121,0.287482742
840,0,0,0,1744.237451,0.588722527
650,0,0,0,977.5796392,0.453021103
610,1,0,0,1602.376626,0.584313071
560,1,1,1,810.5804292,0.397488177
580,0,0,0,907.8586848,0.421885414
720,0,0,0,1526.176562,0.559103969
570,1,0,0,623.2577256,0.357985207
730,1,0,0,861.6303144,0.419018603
600,1,0,0,867.6619673,0.410941885
710,0,0,0,1808.256829,0.604668953
640,0,0,0,542.3722768,0.302673344
580,1,0,0,1010.82389,0.466858691
590,1,0,0,1009.068856,0.463481921
680,0,0,0,1228.148906,0.49801535
